,meanscell_abundance_w_sf_0,meanscell_abundance_w_sf_1,meanscell_abundance_w_sf_2,meanscell_abundance_w_sf_3,meanscell_abundance_w_sf_4,meanscell_abundance_w_sf_5,meanscell_abundance_w_sf_6,meanscell_abundance_w_sf_7,meanscell_abundance_w_sf_8,meanscell_abundance_w_sf_9,meanscell_abundance_w_sf_10,meanscell_abundance_w_sf_11,meanscell_abundance_w_sf_12,meanscell_abundance_w_sf_13,meanscell_abundance_w_sf_14,meanscell_abundance_w_sf_15,meanscell_abundance_w_sf_16,meanscell_abundance_w_sf_17,meanscell_abundance_w_sf_18,meanscell_abundance_w_sf_19,meanscell_abundance_w_sf_20,meanscell_abundance_w_sf_21,meanscell_abundance_w_sf_22,meanscell_abundance_w_sf_23,meanscell_abundance_w_sf_24,meanscell_abundance_w_sf_25,meanscell_abundance_w_sf_26
cellid_000116594-1_4,0.0882674,0.1358496,0.13165735,0.08074426,0.08952673,0.11785048,0.2747937,0.17161655,0.08141498,0.1615253,0.20535979,0.30256402,0.10309612,0.11052078,0.12206517,0.14393008,0.12187576,0.11422618,0.08000466,0.13211592,0.1985866,0.10031544,0.040007677,0.18019333,0.07789929,0.11001431,0.106646955
cellid_000116602-1_4,0.16766985,0.5800351,0.19172601,0.21449722,0.17885438,0.19714624,0.5239025,0.24932097,0.1307659,0.29896432,0.24505492,0.15020722,0.21283084,0.21327776,0.16667235,0.27593634,0.26887256,0.21999699,0.15374577,0.15671724,0.2512589,0.20685624,0.09367964,0.4103918,0.1683344,0.16869073,0.15013486
cellid_000116609-1_4,0.49166164,0.20819366,0.36265314,0.7565875,0.29944208,0.5704736,0.70430464,0.37215206,0.40000165,0.4388503,0.52049196,0.27262968,0.62426525,0.25037637,0.42383298,0.21732992,0.4477832,0.29191032,0.3455595,0.29081962,0.36796445,0.45524764,0.34101176,0.3556926,0.28509462,0.26389936,0.22183147
cellid_000116617-1_4,1.0652246,0.22271563,0.32789472,0.5644242,0.4675124,0.84258187,1.059826,0.48307776,0.43383902,0.57904047,0.53487533,0.33834255,0.4556383,0.5198391,0.58552986,0.34424224,0.67925334,0.4800934,0.519658,0.5962544,0.45590562,1.0442154,0.71592766,0.69015115,0.5264146,0.45282876,0.32246792
cellid_000116623-1_4,0.048426505,0.10203136,0.56147355,0.059637446,0.07559806,0.061417446,0.094337374,0.1127439,0.08196589,0.119248636,0.104266435,0.3620123,0.11258564,0.11233762,0.06780481,0.11803744,0.10093107,0.05183034,0.07869637,0.08824605,0.9164979,0.08106679,0.04015235,0.11711177,0.06454078,0.056468688,0.49348018
cellid_000116634-1_4,0.89803743,0.2613556,1.7421477,0.43364617,0.37485105,0.46024367,0.6056167,0.45595396,0.5354521,0.5424089,0.4527687,0.3825642,0.6656979,0.41081715,0.32642442,0.324776,0.3917409,0.4849465,0.58116204,0.5150766,0.6714338,0.49579862,0.63939756,0.42590165,0.4956151,0.38241997,0.560352
cellid_000116636-1_4,0.060292114,2.304969,0.1412137,0.13744135,0.119797185,0.115149885,0.13009486,0.1708144,0.08348452,0.15655728,0.16268656,0.31602144,0.12609412,0.4106005,0.13466495,0.19242135,0.19124846,0.13252607,0.13650298,0.10070005,0.35335675,0.11549082,0.06392261,0.3031821,0.0979745,0.112553366,0.13042177
cellid_000116644-1_4,0.13524589,4.58808,0.29371,0.16495039,0.19481865,0.22605664,0.24786894,0.3468498,0.12822656,0.24376982,0.26159093,0.34679812,0.27626422,0.4629465,0.15041718,0.9339853,0.2414471,0.18915373,0.18013707,0.1906692,0.2679083,0.14882033,0.06693187,0.27537975,0.17451376,0.14317136,0.89708
cellid_000116646-1_4,0.10572274,0.20169884,0.20420966,0.13413918,0.105903216,0.22829123,0.14934735,0.225157,0.11119632,0.26798624,0.17456286,0.18621494,0.24656975,0.09666467,0.13491216,0.3687399,0.25627187,0.30153632,0.179012,0.12376728,0.2362859,0.116859466,0.11011768,0.13322668,0.16928291,0.1308929,0.19541588
cellid_000116647-1_4,0.11884387,0.19438037,0.1331464,0.16579683,0.10212926,0.08241787,0.18740247,0.14567679,0.052769437,0.13341603,0.1155493,0.13644153,0.17968646,0.12085295,0.08729579,0.09196581,0.11024113,0.06041802,0.049726233,0.0781281,0.12722966,0.09489982,0.02662256,0.16276504,0.06396785,0.06502576,0.11985534
cellid_000116652-1_4,0.026093679,0.05811387,0.115801334,0.048248127,0.056526337,0.03886304,0.06769811,0.09333733,0.051353756,0.12997012,0.07125602,0.3091466,0.055224415,0.059368197,0.048656248,0.13512744,0.1065718,0.06663967,0.042174168,0.058319863,0.12316808,0.04660649,0.024542088,0.099890776,0.048910227,0.03547096,0.15404123
cellid_000116653-1_4,0.029195635,0.03915301,0.08634006,0.0655869,0.046469174,0.06211,0.22760406,0.055891953,0.04113038,0.07234231,0.15033156,0.08534012,0.102956906,0.07692166,0.04487985,0.056275297,0.06405253,0.05502789,0.045077,0.032416895,0.078026965,0.039773528,0.0205512,0.09126243,0.039936043,0.026748344,0.048105787
