"","cluster","gene","Mass_estimate","Mass_summary_p.value","Mass_summary_q.value"
"156",10,"bdnf",-0.00602333549287106,0.149226004319506,0.996794864902951
"157",10,"mettl15",0.000593770145786263,0.7969370788663,0.996794864902951
"158",10,"LOC118471246",-0.00027673173269511,0.681605401617023,0.996794864902951
"159",10,"lgr4",0.00086395468948148,0.692633676499883,0.996794864902951
"160",10,"slc39a13",-0.00174186402146039,0.124106276163425,0.995041746398842
"161",10,"tmem276b",-0.00282752145279195,0.369717490948169,0.996794864902951
"162",10,"slc17a6b",0.00555737116762775,0.185884753657757,0.996794864902951
"163",10,"ano5b",0.00267329561307602,0.161692768923106,0.996794864902951
"164",10,"igdcc3",-0.00147186770950179,0.242072932037443,0.996794864902951
"165",10,"LOC129349470",-0.000298346623985754,0.798251788257333,0.996794864902951
"166",10,"eif3jb",0.002708910974259,0.132537552208355,0.996794864902951
"167",10,"strc1",-0.000200532106478353,0.869146058339068,0.996833154439578
"168",10,"ctdspl2b",-0.00130700186368069,0.385286922132338,0.996794864902951
"169",10,"golm2",-0.000194694088745564,0.938422832151141,0.999572338668326
"170",10,"fam189a1",0.00220075328755639,0.616013050821381,0.996794864902951
"171",10,"tjp1a",-0.00138994948552747,0.61822149108036,0.996794864902951
"172",10,"apba2b",-0.00373034956426189,0.32382267096935,0.996794864902951
"173",10,"syt7b",0.00473332409249316,0.118092127661566,0.98838189909259
"174",10,"sdhaf2",-0.000669238398444551,0.611054643722622,0.996794864902951
"175",10,"LOC111574613",2.17568594998817e-07,0.999875940324525,0.99994798268639
"176",10,"polr2l",-0.00047454537185705,0.474478029921406,0.996794864902951
"177",10,"dagla",-0.00131414719352825,0.582623044331215,0.996794864902951
"178",10,"ext2",0.00420199507975339,0.060531677160654,0.909904520832409
"179",10,"caprin1a",0.000384688907014459,0.527008887170431,0.996794864902951
"180",10,"nucb2a",-0.00277560592199542,0.0997643201801444,0.970517557949198
"181",10,"sox6",-0.000261325658250858,0.658689739065566,0.996794864902951
"182",10,"pde3b",0.00137104346616219,0.515775695119039,0.996794864902951
"183",10,"copb1",-0.00188911133769552,0.0188032801286904,0.851903952575677
"184",10,"rras2",-0.000510122046152243,0.766162053686638,0.996794864902951
"185",10,"tub",0.000474945842091915,0.870862058297512,0.996833154439578
"186",10,"LOC129348608",-0.000797671150893124,0.446777609102368,0.996794864902951
"187",10,"lmo1",0.00119118584814579,0.591690382004168,0.996794864902951
"188",10,"stk33",-0.000771740472407321,0.386321927649398,0.996794864902951
"189",10,"trim66",0.00119947343691189,0.586909392608471,0.996794864902951
"190",10,"LOC129348803",0.00010310627197994,0.880383969208599,0.99757985874172
"191",10,"dennd2b",-6.42857559844845e-06,0.996447594343794,0.999572338668326
"192",10,"tmem9b",-0.000942209712207475,0.578769895550851,0.996794864902951
"193",10,"dennd5a",0.00227277161869909,0.518243184252073,0.996794864902951
"194",10,"tmem41b",0.00158055226038068,0.0332319946691248,0.851903952575677
"195",10,"ipo7",3.28006459140257e-05,0.986865357971573,0.999572338668326
"196",10,"swap70a",0.000477725013916245,0.585051052312091,0.996794864902951
"197",10,"sbf2",0.00160778024993912,0.251335263067244,0.996794864902951
"198",10,"ctr9",1.08590124348283e-05,0.99101607105379,0.999572338668326
"199",10,"eif4g2a",-0.00125072477421287,0.148417669050563,0.996794864902951
"200",10,"LOC129348917",-0.000656424463431057,0.318014830451583,0.996794864902951
"201",10,"galnt18b",-0.000614632348441641,0.463495385836072,0.996794864902951
"202",10,"LOC111583341",-0.000303628977769111,0.812505003442237,0.996794864902951
"203",10,"btbd10b",-0.000519204711876797,0.428654031491368,0.996794864902951
"204",10,"LOC129349665",-4.35892530901857e-05,0.974544340910604,0.999572338668326
"205",10,"tead1b",0.000980547951580653,0.331379907323715,0.996794864902951
"206",10,"dkk3a",0.000300923150429376,0.66886299722182,0.996794864902951
"207",10,"usp47",-1.30013316800156e-05,0.992747364588315,0.999572338668326
"208",10,"bola3",2.1694777326422e-06,0.996891869410636,0.999572338668326
"209",10,"pkd1l2a",0.000875937020631632,0.0263679903368415,0.851903952575677
"210",10,"nfat5b",0.000536125402074296,0.557972350600519,0.996794864902951
"211",10,"kars1",-0.00134859479430386,0.308437014539455,0.996794864902951
"212",10,"rpl13",-0.0017307571814643,0.433425907106374,0.996794864902951
"213",10,"cpne7",-0.00612807471905995,0.22853213668518,0.996794864902951
"214",10,"zgc:162592",-0.000319811162460182,0.780187423203357,0.996794864902951
"215",10,"LOC111582316",0.00192367939289488,0.0908892114340016,0.958064006014407
"216",10,"dhx38",0.001405316303597,0.1522786159757,0.996794864902951
"217",10,"LOC118471559",-0.000349976436753459,0.413615605485295,0.996794864902951
"218",10,"LOC129349115",-0.00225949133059462,0.00633367595946463,0.851903952575677
"219",10,"zfhx3b",0.00027405845325601,0.790919857829181,0.996794864902951
"220",10,"usp10",-0.00369857286243098,0.211787982759373,0.996794864902951
"221",10,"phlpp2",0.00236740172763435,0.349567427710052,0.996794864902951
"222",10,"ap1g1",9.78872357123773e-05,0.942551271675097,0.999572338668326
"223",10,"znf821",0.00176509445560107,0.200098378147248,0.996794864902951
"224",10,"LOC129348575",0.000204409808140751,0.822822664753597,0.996794864902951
"225",10,"atxn1l",-0.000621914147252868,0.573067163832272,0.996794864902951
"226",10,"mtmr10",0.000316854216332064,0.634536078245473,0.996794864902951
"227",10,"myo1ea",0.000207093628225828,0.884593951657629,0.99757985874172
