"gene","av_p","positive_p","interaction_p","d_m_p.value","d_f_p.value","f_m_p.value","d_m_estimate","d_f_estimate","f_m_estimate","int_d_p.value","int_f_p.value","int_m_p.value","int_d_estimate","int_f_estimate","int_m_estimate","singular","warning","error","av_q","interaction_q","positive_q"
"atxn2",0.740335838035673,0.0480263103231558,0.0234918324368802,0.130120833088871,0.504335682932918,0.029169871171733,0.0750620753835718,0.0274809016542373,0.102542977037809,0.550978290469919,0.0807485710646054,0.0531368575158839,-0.0346242323084151,0.0750302088920632,-0.136112220498546,FALSE,NA,NA,0.880489995779745,0.331216531302403,0.242532867131937
"sema6a",0.95629636165094,0.325800427140258,0.425459017304031,0.195540317545004,0.935298917931703,0.201119083522222,0.0562573395957597,-0.00286724148759472,0.053390098108165,0.489338534445281,0.512211905409862,0.3324903375874,0.0318887699259147,0.0232791324187411,-0.0572134838090268,FALSE,NA,NA,0.982609546987949,0.839529228478961,0.61195167149693
"rpl6",0.379908112047188,0.424459958121479,0.354822026538749,0.368825872173527,0.53780970484045,0.711609064879955,0.0431215674373869,-0.0255690737222894,0.0175524937150975,0.318368424974722,0.438347840863586,0.428265165512665,0.0500180520836084,-0.0363374313542099,0.0504292766416168,FALSE,NA,NA,0.802647882870223,0.789180108983289,0.689298506904196
"arl15a",0.937610543054032,0.127879717640969,0.14956197951965,0.215803130690525,0.917914389633712,0.176374140198147,0.0564560137209706,0.00398767166788885,0.0604436853888594,0.882900428216843,0.217364446404174,0.147145164426127,0.00686662654153365,0.0456768853759564,-0.094588627441066,FALSE,NA,NA,0.975619561650404,0.603293091906446,0.405570215610126
"slc20a2",0.145963517635865,0.149289967221075,0.214232354684728,0.48592209865771,0.984582208186048,0.480575221425879,0.030648880649868,-0.000719672685192387,0.0299292079646757,0.330647319203895,0.946801729008606,0.156549826890219,-0.0463748202064077,-0.00246445465741679,0.0839532665820651,FALSE,NA,NA,0.787164358248892,0.691474633929874,0.438518404835058
"tmem8b",0.38646697011613,0.262562330435489,0.660680323017837,0.252359511605724,0.688153173648647,0.136707123452514,0.0504801724643634,0.0157072665750217,0.0661874390393851,0.684326100178944,0.0868924778304404,0.276758000158167,0.018514097830964,0.0718628565571002,0.0630324859317632,FALSE,NA,NA,0.802647882870223,0.926515947140092,0.547159404635602
"camk2b1",0.157543138746033,0.0391429972907962,0.17846162507072,0.457557755179477,0.735167421014347,0.289410147825635,0.0311994242145221,0.0121097721979346,0.0433091964124568,0.85067319785937,0.0499163430512756,0.0429957052355366,-0.00857173188767592,0.076678517527101,0.112312683666047,FALSE,NA,NA,0.787164358248892,0.641605865135803,0.209774512011492
"ksr2",0.960826915851393,0.670985203612935,0.605902741607611,0.514911189801094,0.955853118540369,0.460475091734761,0.0296469829021722,0.00208760536591046,0.0317345882680827,0.300173099487121,0.524727542876382,0.67258742553915,0.05205441583361,0.0248566247638348,-0.0254374951049202,FALSE,NA,NA,0.983293640306218,0.906517981334732,0.849463934635359
"LOC111586035",0.402665490240069,0.383282120019766,0.477428088568815,0.423592133436038,0.612162743508643,0.69676195181318,0.0390521624597787,-0.0203885680226199,0.0186635944371588,0.302363665756103,0.692891658619267,0.38747309830329,0.0513956120139279,-0.0174943395561265,0.0601266565543196,FALSE,NA,NA,0.802647882870223,0.870973621285148,0.652722987789821
"ctsla",0.577256652854418,0.433876752271202,0.931603799401923,0.288801016028092,0.968168147296717,0.280196330339195,0.04863653547073,-0.00150316932441951,0.0471333661463104,0.374753906289929,0.483246305334989,0.440251024734893,-0.045702631709497,-0.0263065289396318,-0.0474367134110427,FALSE,NA,NA,0.840386197963202,0.986448216624778,0.696061200595251
"rufy3",0.213401540014761,0.196757322577322,0.263767789888214,0.324691969103309,0.926732755151354,0.346404004095397,0.0441116296559876,-0.00350928721379839,0.0406023424421893,0.528510916963613,0.410465979684549,0.204128482284971,0.0285666362776153,-0.0279971153563157,0.0706582861433426,FALSE,NA,NA,0.792998481312182,0.736951613709078,0.491642513409121
"ywhag2",0.592462805546178,0.605170503594405,0.503496511348949,0.261904595497674,0.906047343892535,0.28550225446781,0.0482489750224578,-0.00425153238297522,0.0439974426394826,0.0737247012415251,0.643360958433806,0.616533756746535,0.0824249571974468,0.0165882751504804,0.0301298622347479,FALSE,NA,NA,0.84521192185224,0.886180857106126,0.810389909439937
"rtn4rl1b",0.536757100441905,0.327875577583128,0.810466004199637,0.341248044382297,0.846849355247512,0.388085182052223,0.0438738539933348,-0.00774087415242081,0.036132979840914,0.926582182668543,0.327298908826744,0.331442522575634,0.00492474445049184,0.0359391168402952,0.0526978307706789,FALSE,NA,NA,0.82767975641794,0.955533628484372,0.61195167149693
"lrfn1",0.236614990602028,0.101845320146599,0.476057909862156,0.418802573440938,0.896804006267908,0.484626185639144,0.0368717024361021,-0.00525972734171119,0.0316119750943909,0.532231506186553,0.827534578271572,0.110864897137508,0.0287276927465125,0.00949394451031239,0.0988493196143491,FALSE,NA,NA,0.794796041518165,0.870598250558045,0.360439097985135
"igsf9ba",0.409961937374513,0.230817786545807,0.734134459136771,0.392905571527789,0.801601471439667,0.275871380591563,0.0379226896789745,0.00957091469626467,0.0474936043752392,0.647193183220411,0.117264166195723,0.237126334909142,0.0215285997655726,0.0651066789060812,0.0685196745916011,FALSE,NA,NA,0.802647882870223,0.934935543013172,0.518589402166535
"dyrk1ab",0.105614016578731,0.0505661971750489,0.220764454296866,0.396402105240925,0.612138600642534,0.174819309565699,0.0367908391030196,0.0202420365156569,0.0570328756186765,0.672474071996215,0.201142520241222,0.055266283188941,-0.022214684645294,0.0594696327277015,0.106219314627965,FALSE,NA,NA,0.787164358248892,0.696787808874482,0.247464629918343
"LOC111575847",0.270703432156857,0.43979902343867,0.0748394741411721,0.354230974060392,0.456823994854328,0.750481246781779,0.0430685076310604,-0.0287272820974738,0.0143412255335866,0.158038689390745,0.117230340598429,0.444247581624941,0.0658421665134352,-0.0610262534980388,0.0484101443782683,FALSE,NA,NA,0.802647882870223,0.487407730273896,0.700796259435647
"schip1",0.323789412880388,0.11511524879302,0.535742233644836,0.36962176917339,0.877496389262328,0.289947997070324,0.0391806207796215,0.00575037646807493,0.0449309972476964,0.746467584219998,0.0655312486936856,0.119140526812329,0.0143590837234303,0.064804284790367,0.085297245434858,FALSE,NA,NA,0.802647882870223,0.900664893153606,0.387554670936501
