"","gene","av_p.value","warning","singular","av_q.value","cluster"
"150","LOC129349687",0.999999998915287,NA,TRUE,"0.999999999964445",14
"151","LOC111562668",0.9905672742449,NA,TRUE,"0.999999999964445",14
"152","tdrd3",0.252032120075288,NA,TRUE,"0.999999999964445",14
"153","LOC111562582",0.984471368122866,NA,TRUE,"0.999999999964445",14
"154","LOC118470526",0.766917418514822,NA,TRUE,"0.999999999964445",14
"155","pcdh17",0.189592096991336,NA,FALSE,"0.999999999964445",14
"156","LOC129348781",0.41848401426452,NA,FALSE,"0.999999999964445",14
"157","lims1",0.935053874788837,NA,TRUE,"0.999999999964445",14
"158","LOC111562382",0.35280620684834,NA,FALSE,"0.999999999964445",14
"159","tgfbrap1",0.223959849264624,NA,TRUE,"0.999999999964445",14
"160","cul4a",0.25117077455901,NA,FALSE,"0.999999999964445",14
"161","lamp1a",0.896492162364348,NA,TRUE,"0.999999999964445",14
"162","adprhl1",0.999999900432088,NA,TRUE,"0.999999999964445",14
"163","dcun1d2b",0.673322781043163,NA,TRUE,"0.999999999964445",14
"164","tmco3",0.208561243309129,NA,FALSE,"0.999999999964445",14
"165","grk1a",0.999999999904045,NA,TRUE,"0.999999999964445",14
"166","LOC111585021",0.934475463042177,NA,TRUE,"0.999999999964445",14
"167","LOC129347314",0.985741763647245,NA,TRUE,"0.999999999964445",14
"168","gas6",0.0509085338636952,NA,FALSE,"0.999999999964445",14
"169","pros1",0.999999999955437,NA,TRUE,"0.999999999964445",14
"170","rasa3",0.0315009024772216,NA,FALSE,"0.999999999964445",14
"171","tpp2",7.03728007535115e-68,"Model failed to converge with max|grad| = 0.010370",FALSE,"NA",14
"172","ercc5",0.793396918507127,NA,TRUE,"0.999999999964445",14
"173","LOC129348925",0.884199080416989,"Model is nearly unidentifiable: large eigenvalue r",FALSE,"NA",14
"174","blzf1",0.222356665945184,NA,FALSE,"0.999999999964445",14
"175","trmt10c",0.445162486305943,NA,TRUE,"0.999999999964445",14
"176","txnl4b",0.360534794316726,NA,TRUE,"0.999999999964445",14
"177","mrpl16",0.604966393170672,NA,TRUE,"0.999999999964445",14
"178","cenpq",0.999999999964445,"unable to evaluate scaled gradient",FALSE,"NA",14
"179","LOC111573080",0.99999999990522,NA,TRUE,"0.999999999964445",14
"180","LOC111573078",0.999999999202789,"unable to evaluate scaled gradient",FALSE,"NA",14
"181","gpc5a",0.238863062970222,NA,TRUE,"0.999999999964445",14
"182","LOC129347566",0.975698112285321,NA,TRUE,"0.999999999964445",14
"183","gpc6a",0.471258844612399,NA,FALSE,"0.999999999964445",14
"184","LOC129348956",0.999999999932284,NA,TRUE,"0.999999999964445",14
"185","LOC111565070",0.999999999782764,NA,TRUE,"0.999999999964445",14
"186","LOC111565062",0.999999999831348,"unable to evaluate scaled gradient",FALSE,"NA",14
"187","slc5a7a",0.709220896003347,NA,FALSE,"0.999999999964445",14
"188","arl6",0.57199122570648,NA,TRUE,"0.999999999964445",14
"189","LOC111565060",0.836512035281152,NA,TRUE,"0.999999999964445",14
"190","nsun3",0.898462274927334,NA,TRUE,"0.999999999964445",14
"191","LOC111565057",0.550456321068293,NA,TRUE,"0.999999999964445",14
"192","LOC129349150",0.944984855412575,NA,TRUE,"0.999999999964445",14
"193","rrad",0.321853735792044,NA,TRUE,"0.999999999964445",14
"194","ca7",0.999999999957954,"unable to evaluate scaled gradient",FALSE,"NA",14
"195","nae1",0.703514017554403,NA,TRUE,"0.999999999964445",14
"196","si:dkey-56m19.5",0.707914948666408,NA,FALSE,"0.999999999964445",14
"197","LOC129349413",0.999999999902989,NA,TRUE,"0.999999999964445",14
"198","LOC129347791",0.684072769681348,NA,TRUE,"0.999999999964445",14
"199","dync1li2",0.562630128387521,NA,TRUE,"0.999999999964445",14
"200","cmtm4",0.295228096913585,NA,TRUE,"0.999999999964445",14
"201","cmtm3",0.694206744890855,NA,TRUE,"0.999999999964445",14
"202","galns",0.583735135699591,NA,FALSE,"0.999999999964445",14
"203","trappc2l",0.0989842346591601,NA,TRUE,"0.999999999964445",14
"204","pabpn1l",0.315623308493805,NA,TRUE,"0.999999999964445",14
"205","cbfa2t3",0.110731127488719,NA,FALSE,"0.999999999964445",14
"206","acsf3",0.810234032962159,NA,TRUE,"0.999999999964445",14
"207","spg7",0.561186009014107,NA,TRUE,"0.999999999964445",14
"208","ankrd11",0.15144859955048,NA,TRUE,"0.999999999964445",14
"209","LOC111580049",0.885894213237819,NA,TRUE,"0.999999999964445",14
"210","dpep1",0.977051118098996,NA,TRUE,"0.999999999964445",14
"211","hp",0.381567451099451,NA,TRUE,"0.999999999964445",14
"212","LOC111580062",0.774464427228147,NA,TRUE,"0.999999999964445",14
"213","dhodh",0.540242232651699,NA,FALSE,"0.999999999964445",14
"214","ist1",0.795402965204666,NA,TRUE,"0.999999999964445",14
"215","mphosph10",0.465335348731035,NA,TRUE,"0.999999999964445",14
"216","mcee",0.710359342195339,NA,TRUE,"0.999999999964445",14
"217","LOC111580055",0.220674437832222,NA,TRUE,"0.999999999964445",14
"218","rplp2l",0.465699279249012,NA,FALSE,"0.999999999964445",14
"219","lin7c",0.756513127040683,NA,TRUE,"0.999999999964445",14
"220","bdnf",0.669808234259588,NA,FALSE,"0.999999999964445",14
"221","kif18a",0.999999999948888,NA,TRUE,"0.999999999964445",14
"222","mettl15",0.0568704090658729,NA,TRUE,"0.999999999964445",14
