Barcode,Anatomical
cellid_000000631-1,Dm-3
cellid_000000632-1,Dm-3
cellid_000000633-1,Vd-r
cellid_000000634-1,Dm-3
cellid_000000635-1,Vd-r
cellid_000000636-1,Vd-r
cellid_000000637-1,Vd-r
cellid_000000638-1,Dm-3
cellid_000000639-1,Vd-r
cellid_000000640-1,Dm-3
cellid_000000641-1,Dm-3
cellid_000000642-1,Dm-3
cellid_000000643-1,Dm-3
cellid_000000644-1,Vd-r
cellid_000000645-1,Vd-r
cellid_000000646-1,Dm-3
cellid_000000647-1,Dm-3
cellid_000000648-1,Vd-r
cellid_000000649-1,Dm-3
cellid_000000650-1,Vd-r
cellid_000000651-1,Vd-r
cellid_000000652-1,Dm-3
cellid_000000653-1,Dm-3
cellid_000000654-1,Vd-r
cellid_000000655-1,Dm-3
cellid_000000656-1,Dm-3
cellid_000000657-1,Dm-3
cellid_000000658-1,Vd-r
cellid_000000659-1,Dm-3
cellid_000000660-1,Vd-r
cellid_000000661-1,Dm-3
cellid_000000662-1,Dm-3
cellid_000000663-1,Dm-3
cellid_000000664-1,Vd-r
cellid_000000665-1,Dm-3
cellid_000000666-1,Vd-r
cellid_000000667-1,Vd-r
cellid_000000668-1,Vd-r
cellid_000000669-1,Dm-3
cellid_000000670-1,Vd-r
cellid_000000671-1,Dm-3
cellid_000000672-1,Dm-3
cellid_000000673-1,Dm-3
cellid_000000674-1,Dm-3
cellid_000000675-1,Dm-3
cellid_000000676-1,Dm-3
cellid_000000677-1,Dm-3
cellid_000000678-1,Dm-3
cellid_000000679-1,Vd-r
cellid_000000680-1,Dm-3
cellid_000000681-1,Dm-3
cellid_000000682-1,Dm-3
cellid_000000683-1,Dm-3
cellid_000000684-1,Dm-3
cellid_000000685-1,Vd-r
cellid_000000686-1,Dm-3
cellid_000000687-1,Vd-r
cellid_000000688-1,Dm-3
cellid_000000689-1,Vd-r
cellid_000000690-1,Dm-3
cellid_000000691-1,Vd-r
cellid_000000692-1,Dm-3
cellid_000000693-1,Vd-r
cellid_000000694-1,Dm-3
cellid_000000695-1,Dm-3
cellid_000000696-1,Dm-3
cellid_000000697-1,Dm-3
cellid_000000698-1,Vd-r
cellid_000000699-1,Dm-3
cellid_000000700-1,Dm-3
cellid_000000701-1,Dm-3
cellid_000000702-1,Vd-r
cellid_000000703-1,Dm-3
cellid_000000704-1,Dm-3
cellid_000000705-1,Dm-3
cellid_000000706-1,Dm-3
cellid_000000707-1,Vd-r
cellid_000000708-1,Dm-3
cellid_000000709-1,Dm-3
cellid_000000710-1,Dm-3
cellid_000000711-1,Vd-r
cellid_000000712-1,Dm-3
cellid_000000713-1,Dm-3
cellid_000000714-1,Vd-r
cellid_000000715-1,Dm-3
cellid_000000716-1,Dm-3
cellid_000000717-1,Vd-r
cellid_000000718-1,Dm-3
cellid_000000719-1,Dm-3
cellid_000000720-1,Dm-3
cellid_000000721-1,Dm-3
cellid_000000722-1,Vd-r
cellid_000000723-1,Dm-3
cellid_000000724-1,Vd-r
cellid_000000725-1,Vd-r
cellid_000000726-1,Dm-3
cellid_000000727-1,Vd-r
cellid_000000728-1,Dm-3
cellid_000000729-1,Vd-r
cellid_000000730-1,Vd-r
cellid_000000731-1,Dm-3
cellid_000000732-1,Vd-r
cellid_000000733-1,Dm-3
cellid_000000734-1,Dm-3
cellid_000000736-1,Dm-3
cellid_000000737-1,Dm-3
cellid_000000738-1,Dm-3
cellid_000000739-1,Vd-r
cellid_000000740-1,Dm-3
cellid_000000741-1,Dm-3
cellid_000000742-1,Dm-3
cellid_000000743-1,Dm-3
cellid_000000744-1,Dm-3
cellid_000000745-1,Dm-3
cellid_000000746-1,Dm-3
cellid_000000747-1,Dm-3
cellid_000000748-1,Dm-3
cellid_000000749-1,Vd-r
cellid_000000750-1,Dm-3
cellid_000000751-1,Vd-r
cellid_000000752-1,Dm-3
cellid_000000753-1,Dm-3
cellid_000000754-1,Dm-3
