Barcode,Coltan DIssection
cellid_000012057-1,included
cellid_000012058-1,included
cellid_000012059-1,included
cellid_000012060-1,included
cellid_000012061-1,included
cellid_000012062-1,included
cellid_000012063-1,included
cellid_000012064-1,included
cellid_000012065-1,included
cellid_000012066-1,included
cellid_000012068-1,included
cellid_000012069-1,included
cellid_000012070-1,included
cellid_000012071-1,included
cellid_000012072-1,included
cellid_000012073-1,included
cellid_000012074-1,included
cellid_000012075-1,included
cellid_000012076-1,included
cellid_000012077-1,included
cellid_000012078-1,included
cellid_000012079-1,included
cellid_000012080-1,included
cellid_000012081-1,included
cellid_000012082-1,included
cellid_000012083-1,included
cellid_000012084-1,included
cellid_000012085-1,included
cellid_000012086-1,included
cellid_000012087-1,included
cellid_000012088-1,included
cellid_000012089-1,included
cellid_000012090-1,included
cellid_000012091-1,included
cellid_000012092-1,included
cellid_000012093-1,included
cellid_000012094-1,included
cellid_000012095-1,included
cellid_000012096-1,included
cellid_000012097-1,included
cellid_000012098-1,included
cellid_000012099-1,included
cellid_000012100-1,included
cellid_000012101-1,included
cellid_000012102-1,included
cellid_000012103-1,included
cellid_000012104-1,included
cellid_000012105-1,included
cellid_000012106-1,included
cellid_000012107-1,included
cellid_000012108-1,included
cellid_000012109-1,included
cellid_000012111-1,included
cellid_000012112-1,included
cellid_000012113-1,included
cellid_000012114-1,included
cellid_000012115-1,included
cellid_000012116-1,included
cellid_000012117-1,included
cellid_000012118-1,included
cellid_000012119-1,included
cellid_000012120-1,included
cellid_000012121-1,included
cellid_000012122-1,included
cellid_000012123-1,included
cellid_000012124-1,included
cellid_000012125-1,included
cellid_000012126-1,included
cellid_000012127-1,included
cellid_000012128-1,included
cellid_000012129-1,included
cellid_000012130-1,included
cellid_000012131-1,included
cellid_000012132-1,included
cellid_000012133-1,included
cellid_000012134-1,included
cellid_000012135-1,included
cellid_000012136-1,included
cellid_000012137-1,included
cellid_000012138-1,included
cellid_000012139-1,included
cellid_000012140-1,included
cellid_000012141-1,included
cellid_000012142-1,included
cellid_000012143-1,included
cellid_000012144-1,included
cellid_000012145-1,included
cellid_000012146-1,included
cellid_000012147-1,included
cellid_000012148-1,included
cellid_000012149-1,included
cellid_000012150-1,included
cellid_000012151-1,included
cellid_000012152-1,included
cellid_000012153-1,included
cellid_000012154-1,included
cellid_000012155-1,included
cellid_000012156-1,included
cellid_000012157-1,included
cellid_000012158-1,included
cellid_000012159-1,included
cellid_000012160-1,included
cellid_000012161-1,included
cellid_000012162-1,included
cellid_000012163-1,included
cellid_000012164-1,included
cellid_000012165-1,included
cellid_000012166-1,included
cellid_000012167-1,included
cellid_000012168-1,included
cellid_000012169-1,included
cellid_000012170-1,included
cellid_000012171-1,included
cellid_000012172-1,included
cellid_000012173-1,included
cellid_000012174-1,included
cellid_000012175-1,included
cellid_000012176-1,included
cellid_000012177-1,included
cellid_000012178-1,included
cellid_000012179-1,included
cellid_000012180-1,included
cellid_000012181-1,included
cellid_000012182-1,included
cellid_000012183-1,included
cellid_000012184-1,included
cellid_000012185-1,included
cellid_000012186-1,included
cellid_000012187-1,included
cellid_000012188-1,included
cellid_000012189-1,included
cellid_000012190-1,included
cellid_000012191-1,included
cellid_000012192-1,included
cellid_000012193-1,included
cellid_000012194-1,included
cellid_000012195-1,included
cellid_000012196-1,included
cellid_000012197-1,included
cellid_000012198-1,included
cellid_000012199-1,included
cellid_000012200-1,included
cellid_000012201-1,included
cellid_000012203-1,included
cellid_000012204-1,included
cellid_000012205-1,included
cellid_000012206-1,included
cellid_000012207-1,included
cellid_000012208-1,included
cellid_000012209-1,included
cellid_000012210-1,included
cellid_000012211-1,included
cellid_000012212-1,included
cellid_000012213-1,included
cellid_000012214-1,included
cellid_000012215-1,included
cellid_000012216-1,included
cellid_000012217-1,included
cellid_000012218-1,included
cellid_000012219-1,included
cellid_000012220-1,included
cellid_000012221-1,included
cellid_000012222-1,included
cellid_000012223-1,included
cellid_000012224-1,included
cellid_000012225-1,included
cellid_000012226-1,included
cellid_000012227-1,included
cellid_000012228-1,included
cellid_000012229-1,included
cellid_000012230-1,included
cellid_000012231-1,included
cellid_000012232-1,included
cellid_000012233-1,included
cellid_000012234-1,included
cellid_000012235-1,included
cellid_000012236-1,included
cellid_000012237-1,included
cellid_000012238-1,included
cellid_000012239-1,included
cellid_000012240-1,included
cellid_000012241-1,included
cellid_000012242-1,included
cellid_000012243-1,included
cellid_000012244-1,included
cellid_000012245-1,included
cellid_000012246-1,included
cellid_000012247-1,included
cellid_000012248-1,included
cellid_000012249-1,included
cellid_000012250-1,included
cellid_000012251-1,included
cellid_000012252-1,included
cellid_000012253-1,included
cellid_000012254-1,included
cellid_000012255-1,included
cellid_000012256-1,included
cellid_000012257-1,included
cellid_000012258-1,included
cellid_000012259-1,included
cellid_000012261-1,included
cellid_000012262-1,included
cellid_000012263-1,included
cellid_000012264-1,included
cellid_000012265-1,included
cellid_000012266-1,included
cellid_000012267-1,included
cellid_000012268-1,included
cellid_000012269-1,included
cellid_000012270-1,included
cellid_000012271-1,included
cellid_000012272-1,included
cellid_000012273-1,included
cellid_000012274-1,included
cellid_000012275-1,included
cellid_000012276-1,included
cellid_000012277-1,included
cellid_000012278-1,included
cellid_000012279-1,included
cellid_000012280-1,included
cellid_000012281-1,included
cellid_000012282-1,included
cellid_000012283-1,included
