"","Barcode","Coltan.DIssection","Barcode_updated"
"14113","cellid_000025357-1","included","cellid_000025357-16P17"
"14114","cellid_000025358-1","included","cellid_000025358-16P17"
"14115","cellid_000025359-1","included","cellid_000025359-16P17"
"14116","cellid_000025360-1","included","cellid_000025360-16P17"
"14117","cellid_000025361-1","included","cellid_000025361-16P17"
"14118","cellid_000025362-1","included","cellid_000025362-16P17"
"14119","cellid_000025363-1","included","cellid_000025363-16P17"
"14120","cellid_000025364-1","included","cellid_000025364-16P17"
"14121","cellid_000025365-1","included","cellid_000025365-16P17"
"14122","cellid_000025366-1","included","cellid_000025366-16P17"
"14123","cellid_000025367-1","included","cellid_000025367-16P17"
"14124","cellid_000025368-1","included","cellid_000025368-16P17"
"14125","cellid_000025369-1","included","cellid_000025369-16P17"
"14126","cellid_000025370-1","included","cellid_000025370-16P17"
"14127","cellid_000025371-1","included","cellid_000025371-16P17"
"14128","cellid_000025372-1","included","cellid_000025372-16P17"
"14129","cellid_000025373-1","included","cellid_000025373-16P17"
"14130","cellid_000025374-1","included","cellid_000025374-16P17"
"14131","cellid_000025375-1","included","cellid_000025375-16P17"
"14132","cellid_000025376-1","included","cellid_000025376-16P17"
"14133","cellid_000025377-1","included","cellid_000025377-16P17"
"14134","cellid_000025378-1","included","cellid_000025378-16P17"
"14135","cellid_000025379-1","included","cellid_000025379-16P17"
"14136","cellid_000025380-1","included","cellid_000025380-16P17"
"14137","cellid_000025381-1","included","cellid_000025381-16P17"
"14138","cellid_000025382-1","included","cellid_000025382-16P17"
"14139","cellid_000025383-1","included","cellid_000025383-16P17"
"14140","cellid_000025384-1","included","cellid_000025384-16P17"
"14141","cellid_000025385-1","included","cellid_000025385-16P17"
"14142","cellid_000025386-1","included","cellid_000025386-16P17"
"14143","cellid_000025387-1","included","cellid_000025387-16P17"
"14144","cellid_000025388-1","included","cellid_000025388-16P17"
"14145","cellid_000025389-1","included","cellid_000025389-16P17"
"14146","cellid_000025390-1","included","cellid_000025390-16P17"
"14147","cellid_000025391-1","included","cellid_000025391-16P17"
"14148","cellid_000025392-1","included","cellid_000025392-16P17"
"14149","cellid_000025393-1","included","cellid_000025393-16P17"
"14150","cellid_000025394-1","included","cellid_000025394-16P17"
"14151","cellid_000025395-1","included","cellid_000025395-16P17"
"14152","cellid_000025396-1","included","cellid_000025396-16P17"
"14153","cellid_000025397-1","included","cellid_000025397-16P17"
"14154","cellid_000025398-1","included","cellid_000025398-16P17"
"14155","cellid_000025399-1","included","cellid_000025399-16P17"
"14156","cellid_000025400-1","included","cellid_000025400-16P17"
"14157","cellid_000025401-1","included","cellid_000025401-16P17"
"14158","cellid_000025402-1","included","cellid_000025402-16P17"
"14159","cellid_000025403-1","included","cellid_000025403-16P17"
"14160","cellid_000025404-1","included","cellid_000025404-16P17"
"14161","cellid_000025405-1","included","cellid_000025405-16P17"
"14162","cellid_000025406-1","included","cellid_000025406-16P17"
"14163","cellid_000025407-1","included","cellid_000025407-16P17"
"14164","cellid_000025408-1","included","cellid_000025408-16P17"
"14165","cellid_000025409-1","included","cellid_000025409-16P17"
"14166","cellid_000025410-1","included","cellid_000025410-16P17"
"14167","cellid_000025411-1","included","cellid_000025411-16P17"
"14168","cellid_000025412-1","included","cellid_000025412-16P17"
"14169","cellid_000025413-1","included","cellid_000025413-16P17"
"14170","cellid_000025414-1","included","cellid_000025414-16P17"
"14171","cellid_000025415-1","included","cellid_000025415-16P17"
"14172","cellid_000025416-1","included","cellid_000025416-16P17"
"14173","cellid_000025417-1","included","cellid_000025417-16P17"
"14174","cellid_000025418-1","included","cellid_000025418-16P17"
"14175","cellid_000025419-1","included","cellid_000025419-16P17"
"14176","cellid_000025420-1","included","cellid_000025420-16P17"
"14177","cellid_000025421-1","included","cellid_000025421-16P17"
"14178","cellid_000025422-1","included","cellid_000025422-16P17"
"14179","cellid_000025423-1","included","cellid_000025423-16P17"
"14180","cellid_000025424-1","included","cellid_000025424-16P17"
"14181","cellid_000025425-1","included","cellid_000025425-16P17"
"14182","cellid_000025426-1","included","cellid_000025426-16P17"
"14183","cellid_000025427-1","included","cellid_000025427-16P17"
"14184","cellid_000025428-1","included","cellid_000025428-16P17"
"14185","cellid_000025429-1","included","cellid_000025429-16P17"
"14186","cellid_000025430-1","included","cellid_000025430-16P17"
"14187","cellid_000025431-1","included","cellid_000025431-16P17"
"14188","cellid_000025432-1","included","cellid_000025432-16P17"
"14189","cellid_000025433-1","included","cellid_000025433-16P17"
"14190","cellid_000025434-1","included","cellid_000025434-16P17"
"14191","cellid_000025435-1","included","cellid_000025435-16P17"
"14192","cellid_000025436-1","included","cellid_000025436-16P17"
"14193","cellid_000025437-1","included","cellid_000025437-16P17"
"14194","cellid_000025438-1","included","cellid_000025438-16P17"
"14195","cellid_000025439-1","included","cellid_000025439-16P17"
