"Barcode","res_2"
"cellid_000001413-1",NA
"cellid_000001414-1",NA
"cellid_000001415-1",NA
"cellid_000001416-1",NA
"cellid_000001419-1","18"
"cellid_000001422-1","12"
"cellid_000001423-1",NA
"cellid_000001424-1",NA
"cellid_000001425-1",NA
"cellid_000001426-1",NA
"cellid_000001427-1",NA
"cellid_000001428-1",NA
"cellid_000001429-1",NA
"cellid_000001430-1",NA
"cellid_000001431-1",NA
"cellid_000001432-1","6"
"cellid_000001433-1","9"
"cellid_000001434-1",NA
"cellid_000001435-1",NA
"cellid_000001436-1",NA
"cellid_000001437-1","10"
"cellid_000001438-1",NA
"cellid_000001439-1",NA
