Barcode,Dissection
cellid_000113680-1,poa dissection
cellid_000113681-1,poa dissection
cellid_000113682-1,poa dissection
cellid_000113686-1,poa dissection
cellid_000113690-1,poa dissection
cellid_000113694-1,poa dissection
cellid_000113699-1,poa dissection
cellid_000113703-1,poa dissection
cellid_000113704-1,poa dissection
cellid_000113709-1,poa dissection
cellid_000113712-1,poa dissection
cellid_000113713-1,poa dissection
cellid_000113716-1,poa dissection
cellid_000113721-1,poa dissection
cellid_000113722-1,poa dissection
cellid_000113725-1,poa dissection
cellid_000113727-1,poa dissection
cellid_000113730-1,poa dissection
cellid_000113731-1,poa dissection
cellid_000113733-1,poa dissection
cellid_000113738-1,poa dissection
cellid_000113739-1,poa dissection
cellid_000113740-1,poa dissection
cellid_000113741-1,poa dissection
cellid_000113742-1,poa dissection
cellid_000113753-1,poa dissection
cellid_000113756-1,poa dissection
cellid_000113760-1,poa dissection
cellid_000113765-1,poa dissection
cellid_000113768-1,poa dissection
cellid_000113770-1,poa dissection
cellid_000113771-1,poa dissection
cellid_000113778-1,poa dissection
cellid_000113779-1,poa dissection
cellid_000113780-1,poa dissection
cellid_000113781-1,poa dissection
cellid_000113784-1,poa dissection
cellid_000113787-1,poa dissection
cellid_000113789-1,poa dissection
cellid_000113796-1,poa dissection
cellid_000113797-1,poa dissection
cellid_000113798-1,poa dissection
cellid_000113799-1,poa dissection
cellid_000113803-1,poa dissection
cellid_000113804-1,poa dissection
cellid_000113807-1,poa dissection
cellid_000113808-1,poa dissection
cellid_000113812-1,poa dissection
cellid_000113815-1,poa dissection
cellid_000113816-1,poa dissection
cellid_000113819-1,poa dissection
cellid_000113820-1,poa dissection
cellid_000113821-1,poa dissection
cellid_000113825-1,poa dissection
cellid_000113826-1,poa dissection
cellid_000113829-1,poa dissection
cellid_000113832-1,poa dissection
cellid_000113834-1,poa dissection
cellid_000113835-1,poa dissection
cellid_000113837-1,poa dissection
cellid_000113839-1,poa dissection
cellid_000113840-1,poa dissection
cellid_000113843-1,poa dissection
cellid_000113844-1,poa dissection
cellid_000113845-1,poa dissection
cellid_000113846-1,poa dissection
cellid_000113849-1,poa dissection
cellid_000113856-1,poa dissection
cellid_000113859-1,poa dissection
cellid_000113861-1,poa dissection
cellid_000113866-1,poa dissection
cellid_000113868-1,poa dissection
cellid_000113870-1,poa dissection
cellid_000113871-1,poa dissection
cellid_000113873-1,poa dissection
cellid_000113879-1,poa dissection
cellid_000113880-1,poa dissection
cellid_000113886-1,poa dissection
cellid_000113887-1,poa dissection
cellid_000113889-1,poa dissection
cellid_000113891-1,poa dissection
cellid_000113895-1,poa dissection
cellid_000113897-1,poa dissection
cellid_000113899-1,poa dissection
cellid_000113903-1,poa dissection
cellid_000113904-1,poa dissection
cellid_000113906-1,poa dissection
cellid_000113907-1,poa dissection
cellid_000113908-1,poa dissection
cellid_000113909-1,poa dissection
cellid_000113910-1,poa dissection
cellid_000113915-1,poa dissection
cellid_000113918-1,poa dissection
cellid_000113926-1,poa dissection
cellid_000113927-1,poa dissection
cellid_000113932-1,poa dissection
cellid_000113933-1,poa dissection
cellid_000113934-1,poa dissection
cellid_000113935-1,poa dissection
cellid_000113936-1,poa dissection
cellid_000113938-1,poa dissection
cellid_000113940-1,poa dissection
cellid_000113941-1,poa dissection
cellid_000113942-1,poa dissection
cellid_000113944-1,poa dissection
cellid_000113948-1,poa dissection
cellid_000113949-1,poa dissection
cellid_000113951-1,poa dissection
cellid_000113955-1,poa dissection
cellid_000113958-1,poa dissection
cellid_000113959-1,poa dissection
cellid_000113960-1,poa dissection
cellid_000113963-1,poa dissection
cellid_000113966-1,poa dissection
cellid_000113967-1,poa dissection
cellid_000113971-1,poa dissection
cellid_000113975-1,poa dissection
cellid_000113976-1,poa dissection
cellid_000113977-1,poa dissection
cellid_000113979-1,poa dissection
cellid_000113980-1,poa dissection
cellid_000113982-1,poa dissection
cellid_000113983-1,poa dissection
cellid_000113985-1,poa dissection
cellid_000113995-1,poa dissection
cellid_000113997-1,poa dissection
cellid_000113999-1,poa dissection
cellid_000114005-1,poa dissection
cellid_000114006-1,poa dissection
cellid_000114012-1,poa dissection
cellid_000114019-1,poa dissection
cellid_000114022-1,poa dissection
cellid_000114028-1,poa dissection
cellid_000114029-1,poa dissection
cellid_000114030-1,poa dissection
cellid_000114036-1,poa dissection
cellid_000114038-1,poa dissection
cellid_000114039-1,poa dissection
cellid_000114042-1,poa dissection
cellid_000114043-1,poa dissection
cellid_000114045-1,poa dissection
cellid_000114047-1,poa dissection
cellid_000114056-1,poa dissection
cellid_000114057-1,poa dissection
cellid_000114059-1,poa dissection
cellid_000114066-1,poa dissection
cellid_000114068-1,poa dissection
cellid_000114071-1,poa dissection
cellid_000114082-1,poa dissection
cellid_000114085-1,poa dissection
cellid_000114086-1,poa dissection
cellid_000114090-1,poa dissection
cellid_000114094-1,poa dissection
cellid_000114095-1,poa dissection
cellid_000114099-1,poa dissection
cellid_000114100-1,poa dissection
cellid_000114102-1,poa dissection
cellid_000114104-1,poa dissection
cellid_000114107-1,poa dissection
cellid_000114111-1,poa dissection
cellid_000114112-1,poa dissection
cellid_000114113-1,poa dissection
cellid_000114115-1,poa dissection
cellid_000114116-1,poa dissection
cellid_000114117-1,poa dissection
cellid_000114121-1,poa dissection
cellid_000114122-1,poa dissection
cellid_000114124-1,poa dissection
cellid_000114129-1,poa dissection
cellid_000114135-1,poa dissection
cellid_000114137-1,poa dissection
cellid_000114138-1,poa dissection
cellid_000114143-1,poa dissection
cellid_000114150-1,poa dissection
cellid_000114155-1,poa dissection
cellid_000114156-1,poa dissection
cellid_000114157-1,poa dissection
cellid_000114159-1,poa dissection
cellid_000114163-1,poa dissection
cellid_000114166-1,poa dissection
cellid_000114167-1,poa dissection
cellid_000114172-1,poa dissection
cellid_000114173-1,poa dissection
cellid_000114174-1,poa dissection
cellid_000114177-1,poa dissection
cellid_000114181-1,poa dissection
cellid_000114182-1,poa dissection
cellid_000114186-1,poa dissection
cellid_000114188-1,poa dissection
cellid_000114189-1,poa dissection
cellid_000114190-1,poa dissection
cellid_000114191-1,poa dissection
