gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	6_0	6_1	6_2	6_3
GABBR1	Q9UBS5	False	GABR1_HUMAN		CPI-CS0F3055E82	GABBR1	2.921	2.859	2.441	2.035
GABBR1	Q9UBS5	False	GABR1_HUMAN		CPI-CS0E648EBFA	GABBR1	2.921	2.859	2.441	2.035
GABBR1	Q9UBS5	False	GABR1_HUMAN		CPI-CS0E6EE9A46	GABBR1	2.921	2.859	2.441	2.035
GABBR1	Q9UBS5	False	GABR1_HUMAN		CPI-CS02CC3D29A	GABBR1	2.921	2.859	2.441	2.035
GABBR2	O75899	False	GABR2_HUMAN		CPI-CS0FA38E530	GABBR2	1.229	1.053	1.532	1.516
GABBR2	O75899	False	GABR2_HUMAN		CPI-CS04C0A3C19	GABBR2	1.229	1.053	1.532	1.516
GABBR2	O75899	False	GABR2_HUMAN		CPI-CS0A7EA055F	GABBR2	1.229	1.053	1.532	1.516
GABBR2	O75899	False	GABR2_HUMAN		CPI-CS0AD67AADC	GABBR2	1.229	1.053	1.532	1.516
GABBR2	O75899	False	GABR2_HUMAN		CPI-CS0AA35FDCE	GABBR2	1.229	1.053	1.532	1.516
GABBR2	O75899	False	GABR2_HUMAN		CPI-CS0B096A78D	GABBR2	1.229	1.053	1.532	1.516
GABBR2	O75899	False	GABR2_HUMAN		CPI-CS02F1A072B	GABBR2	1.229	1.053	1.532	1.516
GABBR2	O75899	False	GABR2_HUMAN		CPI-CS0DC38225F	GABBR2	1.229	1.053	1.532	1.516
GALR1	P47211	False	GALR1_HUMAN		CPI-SS0BE567EFB	GALR1	0.899	1.505	1.131	0.0
GRIA1	P42261	False	GRIA1_HUMAN		CPI-CS0E30DD72A	GRIA1	1.79	1.359	1.588	1.483
GRIA1	P42261	False	GRIA1_HUMAN		CPI-CS0D5D712A6	GRIA1	1.79	1.359	1.588	1.483
GRIA1	P42261	False	GRIA1_HUMAN		CPI-CS0AC140137	GRIA1	1.79	1.359	1.588	1.483
GRIA1	P42261	False	GRIA1_HUMAN		CPI-CS075A67A85	GRIA1	1.79	1.359	1.588	1.483
GRIA2	P42262	False	GRIA2_HUMAN		CPI-CS0356E30C4	GRIA2	1.123	0.985	0.93	1.037
GRIA2	P42262	False	GRIA2_HUMAN		CPI-CS0D893EB03	GRIA2	1.123	0.985	0.93	1.037
GRIA2	P42262	False	GRIA2_HUMAN		CPI-CS0D4790CB0	GRIA2	1.123	0.985	0.93	1.037
GRIA2	P42262	False	GRIA2_HUMAN		CPI-CS033CD7688	GRIA2	1.123	0.985	0.93	1.037
GRIA3	P42263	False	GRIA3_HUMAN		CPI-CS029D39F39	GRIA3	1.487	2.207	2.441	0.72
GRIA3	P42263	False	GRIA3_HUMAN		CPI-CS0921FDCC0	GRIA3	1.487	2.207	2.441	0.72
GRIA3	P42263	False	GRIA3_HUMAN		CPI-CS068F11B5E	GRIA3	1.487	2.207	2.441	0.72
GRIA3	P42263	False	GRIA3_HUMAN		CPI-CS0785280EB	GRIA3	1.487	2.207	2.441	0.72
GRIA4	P48058	False	GRIA4_HUMAN		CPI-CS0DEADB0E8	GRIA4	0.973	1.356	0.702	0.0
GRIA4	P48058	False	GRIA4_HUMAN		CPI-CS0C53F30BC	GRIA4	0.973	1.356	0.702	0.0
GRIA4	P48058	False	GRIA4_HUMAN		CPI-CS0BCE841D5	GRIA4	0.973	1.356	0.702	0.0
GRIA4	P48058	False	GRIA4_HUMAN		CPI-CS03DC69BFC	GRIA4	0.973	1.356	0.702	0.0
GRIK1	P39086	False	GRIK1_HUMAN		CPI-CS0FDF3EF86	GRIK1	0.219	0.0	0.0	0.0
GRIK1	P39086	False	GRIK1_HUMAN		CPI-CS070ACE5CB	GRIK1	0.219	0.0	0.0	0.0
GRIK1	P39086	False	GRIK1_HUMAN		CPI-CS0603C3490	GRIK1	0.219	0.0	0.0	0.0
GRIK1	P39086	False	GRIK1_HUMAN		CPI-CS025FBADF2	GRIK1	0.219	0.0	0.0	0.0
GRIK2	Q13002	False	GRIK2_HUMAN		CPI-CS061474E36	GRIK2	1.018	1.122	1.732	0.0
GRIK2	Q13002	False	GRIK2_HUMAN		CPI-CS07D0E4897	GRIK2	1.018	1.122	1.732	0.0
GRIK2	Q13002	False	GRIK2_HUMAN		CPI-CS0792FFF91	GRIK2	1.018	1.122	1.732	0.0
GRIK2	Q13002	False	GRIK2_HUMAN		CPI-CS0132B4C1D	GRIK2	1.018	1.122	1.732	0.0
GRIK3	Q13003	False	GRIK3_HUMAN		CPI-CS0C3746C9B	GRIK3	0.913	0.725	0.107	0.0
GRIK3	Q13003	False	GRIK3_HUMAN		CPI-CS044A80E08	GRIK3	0.913	0.725	0.107	0.0
GRIK3	Q13003	False	GRIK3_HUMAN		CPI-CS0827BB954	GRIK3	0.913	0.725	0.107	0.0
GRIK3	Q13003	False	GRIK3_HUMAN		CPI-CS0A0633E77	GRIK3	0.913	0.725	0.107	0.0
GRM1	Q13255	False	GRM1_HUMAN		CPI-CS0733858F1	GRM1	0.458	0.64	0.107	0.0
GRM1	Q13255	False	GRM1_HUMAN		CPI-CS059E38F49	GRM1	0.458	0.64	0.107	0.0
GRM1	Q13255	False	GRM1_HUMAN		CPI-CS052714C89	GRM1	0.458	0.64	0.107	0.0
GRM1	Q13255	False	GRM1_HUMAN		CPI-CS0F62789CF	GRM1	0.458	0.64	0.107	0.0
GRM2	Q14416	False	GRM2_HUMAN		CPI-CS029E1DC98	GRM2	0.246	0.355	0.991	0.0
GRM2	Q14416	False	GRM2_HUMAN		CPI-CS099892F99	GRM2	0.246	0.355	0.991	0.0
GRM2	Q14416	False	GRM2_HUMAN		CPI-CS0CD4875F8	GRM2	0.246	0.355	0.991	0.0
GRM2	Q14416	False	GRM2_HUMAN		CPI-CS0CA04CA30	GRM2	0.246	0.355	0.991	0.0
GRM3	Q14832	False	GRM3_HUMAN		CPI-CS08AC774C8	GRM3	0.192	0.101	0.184	0.0
GRM3	Q14832	False	GRM3_HUMAN		CPI-CS035E3DC49	GRM3	0.192	0.101	0.184	0.0
GRM3	Q14832	False	GRM3_HUMAN		CPI-CS0C43745D6	GRM3	0.192	0.101	0.184	0.0
GRM3	Q14832	False	GRM3_HUMAN		CPI-CS0D67AEEF8	GRM3	0.192	0.101	0.184	0.0
GRM4	Q14833	False	GRM4_HUMAN		CPI-CS0ACB62C99	GRM4	2.238	2.356	1.017	0.992
GRM4	Q14833	False	GRM4_HUMAN		CPI-CS08648BDFD	GRM4	2.238	2.356	1.017	0.992
GRM4	Q14833	False	GRM4_HUMAN		CPI-CS07AF8702D	GRM4	2.238	2.356	1.017	0.992
GRM4	Q14833	False	GRM4_HUMAN		CPI-CS0EF654316	GRM4	2.238	2.356	1.017	0.992
GRM5	P41594	False	GRM5_HUMAN		CPI-CS02BEC2C34	GRM5	1.263	1.219	1.275	1.135
GRM5	P41594	False	GRM5_HUMAN		CPI-CS0EECB890E	GRM5	1.263	1.219	1.275	1.135
GRM5	P41594	False	GRM5_HUMAN		CPI-CS0A5376E7A	GRM5	1.263	1.219	1.275	1.135
GRM5	P41594	False	GRM5_HUMAN		CPI-CS002ECD5B1	GRM5	1.263	1.219	1.275	1.135
GRM6	O15303	False	GRM6_HUMAN		CPI-CS00B52BFC6	GRM6	0.063	0.0	0.0	0.0
GRM6	O15303	False	GRM6_HUMAN		CPI-CS0A1A5DA91	GRM6	0.063	0.0	0.0	0.0
GRM6	O15303	False	GRM6_HUMAN		CPI-CS020F306DA	GRM6	0.063	0.0	0.0	0.0
GRM6	O15303	False	GRM6_HUMAN		CPI-CS070154D3B	GRM6	0.063	0.0	0.0	0.0
GRM7	Q14831	False	GRM7_HUMAN		CPI-CS040CBA095	GRM7	0.927	1.576	1.14	0.702
GRM7	Q14831	False	GRM7_HUMAN		CPI-CS093EF3F47	GRM7	0.927	1.576	1.14	0.702
GRM7	Q14831	False	GRM7_HUMAN		CPI-CS07EF8D9C2	GRM7	0.927	1.576	1.14	0.702
GRM7	Q14831	False	GRM7_HUMAN		CPI-CS0F4C33641	GRM7	0.927	1.576	1.14	0.702
GRM8	O00222	False	GRM8_HUMAN		CPI-CS054C4533B	GRM8	1.698	0.813	1.427	0.0
GRM8	O00222	False	GRM8_HUMAN		CPI-CS0BEF05FE2	GRM8	1.698	0.813	1.427	0.0
GRM8	O00222	False	GRM8_HUMAN		CPI-CS08910752E	GRM8	1.698	0.813	1.427	0.0
GRM8	O00222	False	GRM8_HUMAN		CPI-CS0279E4E92	GRM8	1.698	0.813	1.427	0.0
HRH1	P35367	False	HRH1_HUMAN		CPI-CS0FF6E7611	HRH1	0.079	0.12	0.0	0.0
IGF1R	P08069	False	IGF1R_HUMAN		CPI-SS0E41702C1	IGF1R	0.629	1.005	0.498	0.305
PTPRF	P10586	False	PTPRF_HUMAN		CPI-SS0E12A78EF	PTPRF	1.692	2.739	0.735	0.0
PTPRF	P10586	False	PTPRF_HUMAN		CPI-SS0D8DC28C6	PTPRF	1.692	2.739	0.735	0.0
PTPRF	P10586	False	PTPRF_HUMAN		CPI-SS00373B59C	PTPRF	1.692	2.739	0.735	0.0
PTPRF	P10586	False	PTPRF_HUMAN		CPI-SS0CBB9D57D	PTPRF	1.692	2.739	0.735	0.0
PTPRD	P23468	False	PTPRD_HUMAN		CPI-SS0E0D00210	PTPRD	0.672	0.345	0.388	1.247
PTPRD	P23468	False	PTPRD_HUMAN		CPI-SS081E1A895	PTPRD	0.672	0.345	0.388	1.247
PTPRD	P23468	False	PTPRD_HUMAN		CPI-SS08069FE13	PTPRD	0.672	0.345	0.388	1.247
PTPRD	P23468	False	PTPRD_HUMAN		CPI-SS0522C3A29	PTPRD	0.672	0.345	0.388	1.247
PTPRD	P23468	False	PTPRD_HUMAN		CPI-SS044E718AF	PTPRD	0.672	0.345	0.388	1.247
LTB4R2	Q9NPC1	False	LT4R2_HUMAN		CPI-CS0F5B070C5	LTB4R2	0.0	0.0	0.0	0.305
LTB4R2	Q9NPC1	False	LT4R2_HUMAN		CPI-CS04A56D5BE	LTB4R2	0.0	0.0	0.0	0.305
ALK	Q9UM73	False	ALK_HUMAN		CPI-SS012AFC842	ALK	1.989	2.857	3.21	3.246
ALK	Q9UM73	False	ALK_HUMAN		CPI-SS05D7900BF	ALK	1.989	2.857	3.21	3.246
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	PTPRZ1	0.132	0.136	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	PTPRZ1	0.132	0.136	0.0	0.0
DCC	P43146	False	DCC_HUMAN		CPI-SS04F1CBF06	DCC	0.846	1.262	2.11	1.304
DSCAM	O60469	False	DSCAM_HUMAN		CPI-SS0E3C09735	DSCAM	2.712	3.137	1.585	0.883
UNC5A	Q6ZN44	False	UNC5A_HUMAN		CPI-SS0503D8A55	UNC5A	0.614	0.374	0.806	0.0
