"","X","source","Phase","Log_11KT","Log_E2","days","mass_final","Percent_Testicular","z_11kt","z_mass","z_percent_testicular","z_testis","SexState"
"98",92,"Parker","S",2.25134615958858,2.13197134528106,126,2.2,NA,-0.0925031117036228,-0.849105910912108,NA,NA,-0.279882995322681
"99",102,"Parker","S",2.30591000290462,2.57597256174767,126,2.7,NA,0.00158559215061319,-0.646923815935695,NA,NA,-0.240827612790946
"100",112,"Parker","D",2.09788174471387,2.23047446736116,70,2.95,NA,-0.357133808622759,-0.545832768447488,NA,NA,-0.0659596252078048
"101",121,"Parker","D",2.85117270474338,2.59739897505903,42,6.9,NA,0.941824727779577,1.05140578186618,NA,NA,0.0298530218053997
"102",132,"Parker","S",1.95985195479961,2.23070431361257,70,1.99,NA,-0.595149374188453,-0.934022390802202,NA,NA,-0.118984570754405
"103",142,"Parker","S",1.88654712339111,2.59319742644827,42,2.9,NA,-0.721554630019314,-0.56605097794513,NA,NA,0.0660456006208723
"104",152,"Parker","D",2.69103726436369,2.37447338906398,154,3.7,NA,0.665690659671821,-0.242559625982869,NA,NA,-0.344918296745196
"105",162,"Parker","F",1.94973145231571,2.70631657859631,NA,8.2,0,-0.612600948403054,1.57707922880485,-0.783081360239224,-0.949743727558784,0.817191267656216
"106",172,"Parker","M",2.36332987888716,2.49868264675702,NA,3,NA,0.100599176574568,-0.525614558949847,NA,NA,-0.233687951186133
"107",181,"Parker","S",1.83276430494053,2.86306696744985,154,2,NA,-0.814296551594241,-0.929978748902673,NA,NA,-0.0335859915096787
"108",192,"Parker",NA,1.88092786526708,2.97069082769836,126,4.3,NA,-0.731244356427515,5.88879888270516e-05,NA,NA,0.279967313437122
"109",202,"Parker","D",3.11735416837463,2.54612297176526,154,4.84,NA,1.40082225033359,0.218415550563353,NA,NA,-0.45517915714789
"110",212,"Parker",NA,3.23291229108826,2.32401479803629,126,2.3,NA,1.60008816206525,-0.808669491916826,NA,NA,-0.912849895788179
"111",221,"Parker","S",2.41212440617332,2.57576498053672,154,1.99,NA,0.184739397433704,-0.934022390802202,NA,NA,-0.417552769791456
"112",232,"Parker","D",1.71541832259506,2.49067468526134,182,4.2,NA,-1.01664540956301,-0.0403775310064554,NA,NA,0.374213481966487
"113",242,"Parker","D",2.75999250005487,2.54726999087197,70,3.9,NA,0.784595567314924,-0.161686787992303,NA,NA,-0.360408870406849
"114",252,"Parker","S",2.23269123534846,2.12820534396267,182,1.6,NA,-0.124671257046418,-1.0917244248838,NA,NA,-0.357658847452662
"115",262,"Parker","S",2.20612396399185,2.54419211076503,70,2.6,NA,-0.170483281547858,-0.687360234930978,NA,NA,-0.189968893778354
