max_exprmean_column,max_exprmean_value
14|25,0.3009999990463257
14|25,0.3009999990463257
11|4,0.30000001192092896
27|4,0.30000001192092896
2|27,0.2980000078678131
12|27,0.296999990940094
14|25,0.29600000381469727
20|14,0.29600000381469727
14|25,0.29600000381469727
27|27,0.28600001335144043
2|24,0.2800000011920929
12|24,0.27799999713897705
14|14,0.27300000190734863
18|17,0.27000001072883606
2|12,0.2669999897480011
27|24,0.2669999897480011
12|12,0.26499998569488525
2|29,0.25999999046325684
12|29,0.257999986410141
27|12,0.2540000081062317
29|29,0.2529999911785126
27|29,0.24699999392032623
8|24,0.24400000274181366
28|28,0.24300000071525574
28|28,0.24300000071525574
31|27,0.2409999966621399
14|8,0.23899999260902405
2|24,0.23399999737739563
29|31,0.2329999953508377
29|31,0.2329999953508377
12|24,0.23199999332427979
22|31,0.23000000417232513
22|31,0.23000000417232513
28|28,0.22300000488758087
31|24,0.22200000286102295
27|24,0.22100000083446503
29|5,0.2199999988079071
22|5,0.21799999475479126
19|31,0.21199999749660492
19|31,0.21199999749660492
31|12,0.20900000631809235
31|29,0.20200000703334808
19|5,0.20000000298023224
17|17,0.19699999690055847
27|4,0.19300000369548798
31|24,0.17599999904632568
5|17,0.17399999499320984
11|31,0.1679999977350235
