,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
LOC129350229,0.0006830908,0.0008311384,0.0004956572,0.0017123629,0.00090549036,0.001496655,0.0009978587,0.0010542342,0.0020732174,0.0015494569,0.0016779648,0.0013074102,0.001608297,0.0016050516,0.0020448798,0.0019266752,0.0029730557,0.0026595844,0.003970489,0.0042738686,0.0043967115,0.0054192925,0.0047747605,0.005625513,0.006324828,0.016967148,0.08391944
bloc1s6,0.16290237,0.051314056,0.046402283,0.08775672,0.09467958,0.12430604,0.09522811,0.07639483,0.15655945,0.054713525,0.043097813,0.07497278,0.052971017,0.038552895,0.103755325,0.036980793,0.06869514,0.116032824,0.14355649,0.115680985,0.04282685,0.11808232,0.24096616,0.044367015,0.17926572,0.13432975,0.030696899
slc30a4,0.070188574,0.035286676,0.023406869,0.06284923,0.041106567,0.05916813,0.042553626,0.019480579,0.0762507,0.021205064,0.024942378,0.10620393,0.020472897,0.035769463,0.060613386,0.020833736,0.024483204,0.039843034,0.054795895,0.0513462,0.07717029,0.054365765,0.08448946,0.03826917,0.065525,0.090228215,0.069266565
c1h15orf48,0.019506114,0.00036154743,0.00070364465,0.005977993,0.001183735,0.010314315,0.014340813,0.0044682603,0.0035645033,0.007751055,0.0014754869,0.0014250732,0.0030445373,0.0018637512,0.05840094,0.0040659173,0.006095628,0.0049140295,0.0056798086,0.004359687,0.0030234726,0.014161459,0.024535175,0.04087942,0.008986112,0.011209867,0.057607442
spata5l1,0.02682336,0.0038019607,0.0029837226,0.016991729,0.01665277,0.016614364,0.011065725,0.017506113,0.019232174,0.011180767,0.0062355995,0.007510612,0.009706761,0.004953094,0.022782639,0.0067462916,0.020655435,0.030489124,0.03729976,0.02255111,0.005488389,0.022110451,0.03717886,0.0114074405,0.024589019,0.017359583,0.031361382
LOC111565744,0.008978678,0.013366362,0.0008130801,0.00077159295,0.007925777,0.0028170908,0.004175891,0.0051699355,0.007837303,0.0032303147,0.0030596815,0.0027914667,0.0020578438,0.0016546032,0.0033004251,0.0040798453,0.0029007315,0.0103681,0.009790098,0.011871621,0.002826667,0.004299713,0.02746146,0.0060728192,0.012757371,0.007335086,0.037712697
dtwd1,0.029670546,0.006354448,0.0016488304,0.01411684,0.026978314,0.018524684,0.016209599,0.016814275,0.02915649,0.013407655,0.0037989623,0.0032689017,0.010387523,0.017929906,0.020147126,0.0066900477,0.021630285,0.02903122,0.011681609,0.025140941,0.012702911,0.024734443,0.048549607,0.008111623,0.019864362,0.012762732,0.034035087
LOC129349619,0.00087552884,0.09883951,0.0016751029,0.00096651184,0.0013048175,0.0016315574,0.0023212058,0.21818723,0.0020693191,0.001871211,0.003128476,0.003254891,0.0019781007,0.003905712,0.0026380422,0.108445175,0.007081914,0.0060135256,0.0034141764,0.0086404625,0.009951238,0.0042941035,0.0037523252,0.027576886,0.0233487,0.010632574,0.06917135
fgf7,0.00017410635,0.0039555007,0.00034119535,0.0005661607,0.0005553533,0.0013031218,0.000928185,0.005004194,0.0033659777,0.0007641605,0.0008958544,0.00093231053,0.0009950785,0.0012641588,0.0013294509,0.03128497,0.0024350937,0.0013861104,0.003059607,0.0018438161,0.0055704406,0.0023770935,0.002673006,0.0086520305,0.002866733,0.0052268533,0.012758118
cops2,0.13043447,0.04139252,0.02359497,0.06917653,0.0888715,0.102880314,0.054575115,0.040918164,0.09793814,0.04032575,0.024264585,0.018603185,0.03102603,0.03207223,0.05698223,0.046378776,0.056076176,0.11030872,0.08419872,0.08251646,0.03243904,0.058505815,0.18867609,0.029938158,0.097268365,0.046925496,0.053038795
